Date,Rates
2019-12-25,100
2019-12-26,100
2019-12-27,100
2019-12-28,100
2019-12-29,100
2019-12-30,92
2019-12-31,92
2020-01-01,92
2020-01-02,92
2020-01-03,85
2020-01-04,87
2020-01-05,90
2020-01-06,
2020-01-07,93
2020-01-08,93
2020-01-09,93
2020-01-10,88
2020-01-11,88
2020-01-12,83
2020-01-13,
2020-01-14,85
2020-01-15,87
2020-01-16,87
2020-01-17,87
2020-01-18,87
2020-01-19,87
2020-01-20,87
2020-01-21,83
2020-01-22,83
2020-01-23,85
2020-01-24,85
2020-01-25,85
2020-01-26,85
2020-01-27,85
2020-01-28,80
2020-01-29,80
2020-01-30,80
2020-01-31,80
2020-02-01,82
2020-02-02,82
2020-02-03,82
2020-02-04,77
2020-02-05,77
2020-02-06,72
2020-02-07,72
2020-02-08,72
2020-02-09,72
2020-02-10,65
2020-02-11,65
2020-02-12,65
2020-02-13,65
2020-02-14,59
2020-02-15,54
2020-02-16,54
2020-02-17,54
2020-02-18,54
2020-02-19,54
2020-02-20,54
2020-02-21,54
2020-02-22,45
2020-02-23,45
2020-02-24,45
2020-02-25,48
2020-02-26,50
2020-02-27,52
2020-02-28,52
2020-02-29,55
2020-03-01,57
2020-03-02,57
2020-03-03,57
2020-03-04,57
2020-03-05,47
2020-03-06,47
2020-03-07,47
2020-03-08,37
2020-03-09,37
2020-03-10,37
2020-03-11,30
2020-03-12,15
2020-03-13,15
2020-03-14,15
2020-03-15,20
2020-03-16,20
2020-03-17,20
2020-03-18,13
2020-03-19,23
2020-03-20,28
2020-03-21,33
2020-03-22,33
2020-03-23,33
2020-03-24,50
2020-03-25,70
2020-03-26,70
2020-03-27,80
2020-03-28,85
2020-03-29,85
2020-03-30,70
2020-03-31,70
2020-04-01,70
2020-04-02,70
2020-04-03,70
2020-04-04,72
2020-04-05,72
2020-04-06,80
2020-04-07,80
2020-04-08,85
2020-04-09,85
2020-04-10,85
2020-04-11,85
2020-04-12,85
2020-04-13,
2020-04-14,
2020-04-15,89
2020-04-16,89
2020-04-17,89
2020-04-18,89
2020-04-19,100
2020-04-20,100
2020-04-21,100
2020-04-22,100
2020-04-23,100
2020-04-24,100
2020-04-25,100
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,82
2020-04-30,85
2020-05-01,87
2020-05-02,90
2020-05-03,95
2020-05-04,99
2020-05-05,103
2020-05-06,106
2020-05-07,106
2020-05-08,106
2020-05-09,106
2020-05-10,111
2020-05-11,113
2020-05-12,
2020-05-13,
2020-05-14,140
2020-05-15,140
2020-05-16,145
2020-05-17,150
2020-05-18,150
2020-05-19,140
2020-05-20,140
2020-05-21,130
2020-05-22,125
2020-05-23,127
2020-05-24,127
2020-05-25,127
2020-05-26,127
2020-05-27,129
2020-05-28,129
2020-05-29,134
2020-05-30,135
2020-05-31,135
2020-06-01,135
2020-06-02,137
2020-06-03,140
2020-06-04,140
2020-06-05,140
2020-06-06,140
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,93
2020-07-14,95
2020-07-15,97
2020-07-16,99
2020-07-17,99
2020-07-18,99
2020-07-19,90
2020-07-20,90
2020-07-21,92
2020-07-22,94
2020-07-23,94
2020-07-24,94
2020-07-25,94
2020-07-26,82
2020-07-27,98
2020-07-28,78
2020-07-29,80
2020-07-30,82
2020-07-31,90
2020-08-01,100
2020-08-02,100
2020-08-03,100
2020-08-04,100
2020-08-05,96
2020-08-06,92
2020-08-07,85
2020-08-08,85
2020-08-09,85
2020-08-10,83
2020-08-11,83
2020-08-12,85
2020-08-13,85
2020-08-14,88
2020-08-15,88
2020-08-16,88
2020-08-17,83
2020-08-18,79
2020-08-19,79
2020-08-20,79
2020-08-21,81
2020-08-22,85
2020-08-23,85
2020-08-24,88
2020-08-25,88
2020-08-26,90
2020-08-27,90
2020-08-28,92
2020-08-29,95
2020-08-30,95
2020-08-31,98
2020-09-01,103
2020-09-02,113
2020-09-03,118
2020-09-04,123
2020-09-05,123
2020-09-06,123
2020-09-07,123
2020-09-08,123
2020-09-09,113
2020-09-10,108
2020-09-11,103
2020-09-12,103
2020-09-13,103
2020-09-14,105
2020-09-15,107
2020-09-16,105
2020-09-17,112
2020-09-18,112
2020-09-19,112
2020-09-20,112
2020-09-21,112
2020-09-22,107
2020-09-23,107
2020-09-24,102
2020-09-25,103
2020-09-26,108
2020-09-27,108
2020-09-28,110
2020-09-29,110
2020-09-30,110
2020-10-01,105
2020-10-02,98
2020-10-03,100
2020-10-04,112
2020-10-05,112
2020-10-06,120
2020-10-07,125
2020-10-08,126
2020-10-09,126
2020-10-10,126
2020-10-11,126
2020-10-12,126
2020-10-13,119
2020-10-14,110
2020-10-15,106
2020-10-16,111
2020-10-17,117
2020-10-18,122
2020-10-19,122
2020-10-20,122
2020-10-21,117
2020-10-22,111
2020-10-23,114
2020-10-24,117
2020-10-25,120
2020-10-26,120
2020-10-27,107
2020-10-28,99
2020-10-29,104
2020-10-30,104
2020-10-31,109
2020-11-01,109
2020-11-02,109
2020-11-03,100
2020-11-04,95
2020-11-05,95
2020-11-06,89
2020-11-07,89
2020-11-08,89
2020-11-09,91
2020-11-10,91
2020-11-11,94
2020-11-12,94
2020-11-13,94
2020-11-14,94
2020-11-15,94
2020-11-16,95
2020-11-17,95
2020-11-18,89
2020-11-19,85
2020-11-20,87
2020-11-21,90
2020-11-22,90
2020-11-23,92
2020-11-24,92
2020-11-25,92
2020-11-26,93
2020-11-27,95
2020-11-28,105
2020-11-29,105
2020-11-30,105
2020-12-01,105
2020-12-02,105
2020-12-03,98
2020-12-04,98
2020-12-05,98
2020-12-06,90
2020-12-07,90
2020-12-08,90
2020-12-09,82
2020-12-10,82
2020-12-11,82
2020-12-12,84
2020-12-13,84
2020-12-14,86
2020-12-15,86
2020-12-16,88
2020-12-17,90
2020-12-18,92
2020-12-19,92
2020-12-20,92
2020-12-21,92
2020-12-22,89
2020-12-23,89
2020-12-24,89
2020-12-25,80
2020-12-26,80
2020-12-27,82
2020-12-28,85
2020-12-29,89
2020-12-30,89
2020-12-31,89
2021-01-01,89
2021-01-02,83
2021-01-03,83
2021-01-04,87
2021-01-05,87
2021-01-06,87
2021-01-07,87
2021-01-08,78
2021-01-09,78
2021-01-10,78
2021-01-11,68
2021-01-12,68
2021-01-13,73
2021-01-14,77
2021-01-15,80
2021-01-16,80
2021-01-17,80
2021-01-18,71
2021-01-19,71
2021-01-20,80
2021-01-21,63
2021-01-22,63
2021-01-23,63
2021-01-24,63
2021-01-25,65
2021-01-26,65
2021-01-27,70
2021-01-28,72
2021-01-29,77
2021-01-30,82
2021-01-31,84
2021-02-01,84
2021-02-02,84
2021-02-03,79
2021-02-04,71
2021-02-05,63
2021-02-06,63
2021-02-07,66
2021-02-08,66
2021-02-09,66
2021-02-10,66
2021-02-11,68
2021-02-12,73
2021-02-13,80
2021-02-14,80
2021-02-15,80
2021-02-16,80
2021-02-17,75
2021-02-18,75
2021-02-19,75
2021-02-20,80
2021-02-21,80
2021-02-22,85
2021-02-23,87
2021-02-24,89
2021-02-25,89
2021-02-26,89
2021-02-27,89
2021-02-28,89
2021-03-01,92
2021-03-02,95
2021-03-03,100
2021-03-04,107
2021-03-05,110
2021-03-06,115
2021-03-07,115
2021-03-08,115
2021-03-09,115
2021-03-10,108
2021-03-11,100
2021-03-12,102
2021-03-13,104
2021-03-14,104
2021-03-15,108
2021-03-16,108
2021-03-17,108
2021-03-18,103
2021-03-19,98
2021-03-20,98
2021-03-21,98
2021-03-22,103
2021-03-23,110
2021-03-24,110
2021-03-25,110
2021-03-26,110
2021-03-27,110
2021-03-28,110
2021-03-29,115
2021-03-30,117
2021-03-31,119
2021-04-01,122
2021-04-02,127
2021-04-03,135
2021-04-04,140
2021-04-05,142
2021-04-06,144
2021-04-07,144
2021-04-08,144
2021-04-09,135
2021-04-10,126
2021-04-11,116
2021-04-12,116
2021-04-13,111
2021-04-14,111
2021-04-15,111
2021-04-16,104
2021-04-17,104
2021-04-18,104
2021-04-19,96
2021-04-20,90
2021-04-21,85
2021-04-22,78
2021-04-23,70
2021-04-24,70
2021-04-25,70
2021-04-26,72
2021-04-27,75
2021-04-28,75
2021-04-29,75
2021-04-30,65
2021-05-01,60
2021-05-02,60
2021-05-03,60
2021-05-04,62
2021-05-05,64
2021-05-06,66
2021-05-07,72
2021-05-08,80
2021-05-09,85
2021-05-10,90
2021-05-11,92
2021-05-12,92
2021-05-13,92
2021-05-14,82
2021-05-15,82
2021-05-16,72
2021-05-17,72
2021-05-18,75
2021-05-19,80
2021-05-20,85
2021-05-21,90
2021-05-22,95
2021-05-23,95
2021-05-24,95
2021-05-25,88
2021-05-26,78
2021-05-27,78
2021-05-28,80
2021-05-29,85
2021-05-30,88
2021-05-31,93
2021-06-01,97
2021-06-02,95
2021-06-03,97
2021-06-04,99
2021-06-05,104
2021-06-06,104
2021-06-07,109
2021-06-08,109
2021-06-09,109
2021-06-10,100
2021-06-11,90
2021-06-12,90
2021-06-13,92
2021-06-14,94
2021-06-15,99
2021-06-16,104
2021-06-17,106
2021-06-18,106
2021-06-19,106
2021-06-20,96
2021-06-21,98
2021-06-22,101
2021-06-23,101
2021-06-24,101
2021-06-25,101
2021-06-26,101
2021-06-27,101
2021-06-28,101
2021-06-29,109
2021-06-30,110
2021-07-01,114
2021-07-02,114
2021-07-03,114
2021-07-04,116
2021-07-05,120
2021-07-06,122
2021-07-07,124
2021-07-08,125
2021-07-09,127
2021-07-10,130
2021-07-11,132
2021-07-12,133
2021-07-13,133
2021-07-14,133
2021-07-15,133
2021-07-16,135
2021-07-17,139
2021-07-18,139
2021-07-19,1369
2021-07-20,139
2021-07-21,130
2021-07-22,130
2021-07-23,132
2021-07-24,132
2021-07-25,132
2021-07-26,132
2021-07-27,122
2021-07-28,122
2021-07-29,112
2021-07-30,112
2021-07-31,114
2021-08-01,114
2021-08-02,116
2021-08-03,117
2021-08-04,117
2021-08-05,117
2021-08-06,117
2021-08-07,117
2021-08-08,107
2021-08-09,107
2021-08-10,109
2021-08-11,111
2021-08-12,113
2021-08-13,118
2021-08-14,123
2021-08-15,125
2021-08-16,128
2021-08-17,130
2021-08-18,130
2021-08-19,130
2021-08-20,130
2021-08-21,132
2021-08-22,132
2021-08-23,132
2021-08-24,132
2021-08-25,123
2021-08-26,123
2021-08-27,123
2021-08-28,125
2021-08-29,125
2021-08-30,125
2021-08-31,125
2021-09-01,116
2021-09-02,116
2021-09-03,118
2021-09-04,121
2021-09-05,121
2021-09-06,121
2021-09-07,121
2021-09-08,123
2021-09-09,123
2021-09-10,123
2021-09-11,123
2021-09-12,123
2021-09-13,125
2021-09-14,125
2021-09-15,115
2021-09-16,115
2021-09-17,117
2021-09-18,122
2021-09-19,124
2021-09-20,127
2021-09-21,129
2021-09-22,131
2021-09-23,133
2021-09-24,133
2021-09-25,135
2021-09-26,135
2021-09-27,135
2021-09-28,126
2021-09-29,126
2021-09-30,126
2021-10-01,124
2021-10-02,123
2021-10-03,125
2021-10-04,127
